Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,biaoqian,class
APOB,0.0,21.0,0.0,2.0,38.0,21.0,5.0,0.0,5.0,1195.0,82.0,0.0,0.0,474.0,6.0,0.0,45.0,21.0,0.0,1783.0,0.0,1049,2.86190032741188,13.613480126229891,17.761257739640392,9.449148645375436,0.019815855,0.01585127,0.051882047,0.011916155,-0.064621925,0.01637808,0.618693335,0.045142335,2.0,21224302.0,21266945.0,222161.8,698.0,3.734609e-06,0.4470267,-0.01116634,7.0,59.10811,97.72973,0.9607832,163.6066,26.05246,41.98796,0.00035014,42.0,2.745263157894737,0,1
AR,0.0,21.0,0.0,9.0,4.0,3.0,1.0,0.0,17.0,181.0,15.0,1.0,0.0,105.0,6.0,0.0,13.0,3.0,0.0,347.0,0.0,286,4.592138528843583,8.906497271544673,16.696281594186832,8.594903589110126,0.0053439136,0.0088219919999999,0.02108574,0.0064631132,-0.04656232,0.0130907865,3.032896456,0.4560895820000001,23.0,66763874.0,66944119.0,106188.5,443.4357224118317,4.998554e-06,0.3875099999999999,-0.007090065,1.0,26.7027,65.7027,0.8616898000000001,51.43607,2.04918,50.9402,0.001675864,226.0,1.9339622641509435,1,1
ARAF,0.0,7.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,110.0,7.0,0.0,0.0,38.0,3.0,0.0,22.0,1.0,0.0,165.0,0.0,159,10.340668561744726,0.3118963606610297,19.56423733305053,8.594903589110126,0.0029176,0.013779471,0.023430929,0.010637551,-0.063676976,0.018181428,0.28682916,0.035087619,23.0,47420516.0,47431319.0,775214.2,443.4357224118317,2.733144e-06,0.47047,0.03801457,16.0,28.05405,60.0,0.9316594,36.09508,0.4,58.62421,0.000282272,80.0,3.102564102564102,0,1
ARHGAP35,0.0,24.0,0.0,0.0,59.0,11.0,7.0,0.0,2.0,286.0,98.0,0.0,0.0,94.0,2.0,0.0,68.0,13.0,0.0,502.0,0.0,416,6.681498285286242,2.68894983812042,20.196833820062352,7.700439718141093,-0.007249396,0.025553305,0.0547742959999999,0.0121618975,-0.089874834,0.031443022,0.4439186536272007,0.0288399977075919,19.0,47421933.0,47508323.0,1201856.0,207.0,2.394241e-06,0.4846399999999999,0.02947543,21.0,54.81081,97.56757,0.9523552,122.0689,15.79344,47.07204,3.16e-05,11.0,4.178947368421053,0,1
ARID1A,0.0,31.0,0.0,0.0,291.0,95.0,4.0,1.0,17.0,314.0,328.0,0.0,0.0,105.0,34.0,0.0,308.0,104.0,0.0,808.0,0.0,899,11.187981590682355,0.4687530204060779,19.89647151135277,7.515699838284043,-0.037243716,0.02853611,0.032519877,0.006167759,-0.13978295,0.04374795,0.11051121,0.004302233,1.0,27022522.0,27108601.0,975965.1,182.0,1.694622e-06,0.4612199999999999,0.02749164,26.0,45.72973,89.48649,0.9422849,132.0852,16.43279,53.77404,0.000107153,52.0,7.283018867924528,1,1
ARID2,0.0,42.0,11.0,0.0,66.0,10.0,3.0,1.0,8.0,329.0,116.0,0.0,0.0,90.0,25.0,0.0,77.0,13.0,0.0,611.0,0.0,491,9.43075089894,0.4515078587178897,19.64666663543411,9.236014191900084,0.01905469,0.02255286,0.058563497,0.018712476,-0.06463722,0.020379445,0.4439186536272007,0.0288399977075919,12.0,46123620.0,46301819.0,820796.4,602.0,2.490684e-06,0.3695267,0.01035756,5.0,50.72973,94.10811,0.9085058,131.8262,15.28197,40.25991,4.17e-06,20.0,5.285714285714286,1,1
ARID5B,0.0,54.0,0.0,5.0,35.0,11.0,1.0,0.0,5.0,192.0,27.0,1.0,0.0,81.0,3.0,0.0,46.0,12.0,0.0,357.0,0.0,312,10.146034197432083,1.25982854752949,16.31606935510919,8.603626344986193,-0.029558143,0.032812487,0.041308302,0.013500698,-0.1296569,0.042979572,0.4439186536272007,0.0288399977075919,10.0,63661013.0,63856707.0,81587.0,388.0,2.174095e-06,0.40396,0.0199967,3.0,50.05405,96.75676,0.9209687,143.0689,18.98361,47.84528,1.93e-06,7.0,2.841463414634146,0,1
ASXL1,0.0,21.0,0.0,1.0,37.0,10.0,0.0,0.0,6.0,235.0,38.0,0.0,0.0,103.0,3.0,0.0,37.0,11.0,0.0,406.0,0.0,341,10.636846426934907,0.29941427809678,19.574553061834926,7.92481250360578,0.078234546,0.036237612,0.11342726,0.042034797,-0.025330603,0.0048090876,0.02737605,0.000180787,20.0,30946147.0,31027121.0,780777.1,242.0,2.341719e-06,0.44678,0.05736297,22.0,58.10811,95.59459,0.9467196,145.9934,20.60656,50.18696,1.36e-05,11.0,2.75,1,1
ASXL2,0.0,18.0,0.0,14.0,10.0,4.0,4.0,0.0,0.0,243.0,41.0,0.0,0.0,78.0,4.0,2.0,24.0,7.0,0.0,387.0,0.0,324,8.629959961675931,1.7462070024424972,19.201061868092395,8.169925001442312,0.020519463,0.015583256,0.05214123,0.011713437,-0.06352118,0.016149726,0.4439186536272007,0.0288399977075919,2.0,25962253.0,26101312.0,602691.2,287.0,1.904403e-06,0.4231667,0.03117825,7.0,53.21621999999999,95.16216,0.8458472,178.0984,31.90492,47.44795,2.93e-05,11.0,3.6962025316455698,0,1
ATF7IP,0.0,13.0,0.0,6.0,20.0,16.0,2.0,0.0,11.0,182.0,47.0,0.0,0.0,63.0,10.0,0.0,23.0,16.0,0.0,331.0,0.0,282,9.660381796239156,0.6441469033600334,18.37205775533965,9.786269627648467,0.027438892,0.035786442,0.07802167,0.03145664,-0.081671104,0.027705379,0.30149485,0.007017786,12.0,14518611.0,14651696.0,339265.1,882.0,3.501794e-06,0.38464,0.01227894,2.0,56.40541,98.43243,0.9282649,132.6984,15.92131,40.92154,1.4499999999999998e-05,19.0,3.984375,0,1
ATM,0.0,13.0,0.0,0.0,75.0,21.0,8.0,0.0,6.0,553.0,107.0,1.0,0.0,118.0,37.0,0.0,86.0,21.0,0.0,832.0,0.0,635,9.812150525662606,0.8085489074570414,18.665663115450307,9.187352073200495,-0.031743772,0.0324447229999999,0.040505476,0.010243551,-0.14058605,0.046182755,0.134311695,0.00162483,11.0,108093559.0,108239826.0,415837.3,582.0,2.489696e-06,0.3894167,0.01619721,10.0,44.86486,94.13514,0.8988393,129.0492,15.40656,35.17429,0.001447922,135.0,6.033613445378151,1,1
ATR,0.0,8.0,0.0,3.0,25.0,10.0,1.0,0.0,2.0,409.0,44.0,0.0,0.0,113.0,20.0,0.0,26.0,10.0,0.0,599.0,0.0,445,9.313908022245588,0.5187370438832222,19.10727046650045,8.658211482751796,0.04432182,0.034075394,0.0882492659999999,0.0325035,-0.0678253,0.020588236,0.071826827,0.000498668,3.0,142168078.0,142297668.0,564755.9,403.0,2.657821e-06,0.369535,0.0237615,8.0,54.7027,93.0,0.8840769,135.4885,17.00984,36.14391,0.000313304,97.0,4.2368421052631575,0,1
ATRX,0.0,111.0,0.0,9.0,145.0,41.0,4.0,0.0,1.0,558.0,140.0,0.0,0.0,132.0,29.0,0.0,166.0,47.0,0.0,957.0,0.0,750,10.42428615728199,0.6621005371425517,19.065179701901016,8.594903589110126,0.0016754944,0.008137279,0.018076722,0.0041802214,-0.050307635,0.01712672,0.228018833,0.041696409,23.0,76760359.0,77041719.0,548517.1,443.4357224118317,2.649852e-06,0.388925,0.007779237,2.0,29.75676,74.89189,0.9278556,179.2918,32.74426,35.81116,0.000226882,47.0,5.774436090225564,1,1
ATXN3,0.0,16.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,44.0,12.0,0.0,0.0,11.0,3.0,1.0,3.0,1.0,0.0,87.0,0.0,79,8.520895452926114,0.3651446388151707,18.44218298504223,8.700439718141093,-0.022367984,0.028479954,0.0449063,0.010630747,-0.123885795,0.038281593,0.04767463,0.000235091,14.0,92524897.0,92572965.0,356163.2,415.0,2.416015e-06,0.40208,0.02689981,12.0,43.13514,89.78378000000001,0.8447333,146.0197,19.63607,38.01007,0.000813865,76.0,5.0,0,1
AXIN1,0.0,23.0,0.0,5.0,23.0,4.0,1.0,0.0,1.0,137.0,20.0,0.0,0.0,57.0,9.0,0.0,26.0,4.0,0.0,250.0,0.0,241,9.902774492096338,0.3864597135398147,20.46263107319909,7.686500527183218,0.0014500860297898,0.0299711588873905,0.057367087,0.0186526400956217,-0.096697303670753,0.0309440894036777,0.174672081,0.033637112,16.0,337440.0,402464.0,1444992.0,205.0,3.4602510000000003e-06,0.54865,0.04011333,48.0,40.59459,81.81081,0.906621,105.9672,11.58361,59.97119,0.000296035,58.0,2.931034482758621,1,1
AXIN2,0.0,21.0,0.0,4.0,32.0,10.0,1.0,1.0,18.0,122.0,13.0,0.0,0.0,60.0,2.0,0.0,36.0,11.0,0.0,237.0,0.0,229,7.8418018512714625,4.066616729581239,17.698564280374203,9.59618975614441,0.03074843,0.028871749,0.07738426,0.025806013,-0.0659481,0.021371193,0.106766418,0.001431759,17.0,63524685.0,63557740.0,212714.3,773.0,2.507782e-06,0.47489,-0.02643192,5.0,51.45946,94.18919,0.9143888,102.9246,11.1082,54.31228,5.64e-06,11.0,2.4262295081967213,0,1
B2M,0.0,2.0,0.0,20.0,61.0,7.0,1.0,0.0,23.0,38.0,22.0,1.0,0.0,8.0,13.0,20.0,69.0,7.0,0.0,140.0,0.0,165,15.400562339735536,1.0733238325746013,19.360510627528207,8.744833837499545,-0.030205177,0.02746644,0.034879148,0.0060112635,-0.12139334,0.043279,0.04622128,0.00025966,15.0,45003685.0,45010356.0,673122.0,428.0,2.356271e-06,0.4221399999999999,0.03622573,10.0,58.32431999999999,95.45946,0.8879617,158.2361,22.54426,42.08208,4e-05,21.0,8.88888888888889,1,1
BAP1,0.0,6.0,0.0,5.0,42.0,9.0,7.0,0.0,3.0,158.0,44.0,0.0,0.0,52.0,18.0,3.0,53.0,9.0,0.0,285.0,0.0,285,10.806575520808332,0.3134313262265245,20.04047167340235,7.845490050944376,-0.042462483,0.0342301,0.03551405,0.007237195,-0.15686035,0.05182646,0.189799689,0.005599101,3.0,52435027.0,52444009.0,1078407.0,229.0,1.601197e-06,0.54928,0.06225371,31.0,42.78378,88.21621999999999,0.9290489,92.4623,8.97377,56.93854,0.000299516,45.0,4.320754716981132,1,1
BCL2,0.0,33.0,0.0,32.0,1.0,0.0,1.0,0.0,5.0,29.0,1.0,0.0,0.0,23.0,0.0,0.0,3.0,1.0,0.0,121.0,0.0,96,8.695454601205933,3.0643820452689376,17.660089930924165,9.030667136246944,-0.046909384,0.03790543,0.041297633,0.010950209,-0.14877774,0.049675,4.425341121000001,0.295729212,18.0,60790579.0,60986613.0,207116.5,522.0,2.484001e-06,0.4313832999999999,0.06028997,5.0,37.35135,77.78378000000001,0.7273774000000001,92.85902,5.481967,59.85281,0.000752638,96.0,1.25,1,1
BCL2L11,0.0,41.0,0.0,1.0,1.0,4.0,0.0,0.0,8.0,51.0,6.0,0.0,0.0,12.0,2.0,0.0,4.0,5.0,0.0,117.0,0.0,100,9.43798009255334,0.6755626783656553,18.70293689136919,8.594903589110126,0.011598742,0.0137736015,0.04210381,0.007462295,-0.06673612,0.021457104,0.4439186536272007,0.0288399977075919,10.318351414958958,73868703.71494174,73933525.0491361,651465.5732789387,443.4357224118317,3.071750140921875e-06,0.4479311960039042,0.0200799657459558,15.394179438608576,47.73935778170025,89.37432302393663,0.8771654310377418,118.01485201911488,14.702477788808851,49.3463895895758,0.000337914,45.0,4.846153846153846,0,1
BCOR,0.0,29.0,0.0,3.0,35.0,14.0,1.0,0.0,1.0,329.0,47.0,0.0,0.0,148.0,6.0,0.0,36.0,17.0,0.0,560.0,0.0,442,9.79273456787671,0.6434158467379638,18.524913160575245,8.594903589110126,-0.0047843354,0.013462745,0.018835712,0.0054217405,-0.07901173,0.031473555,1.4884852869999998,0.082627467,23.0,39910501.0,40036582.0,377184.1,443.4357224118317,2.329506e-06,0.514745,0.0421931,1.0,31.78378,71.32432,0.9223142,69.27541,4.016393,51.88701,2.87e-05,34.0,2.6577181208053693,1,1
BRAF,0.0,9.0,0.0,0.0,7.0,1.0,7.0,0.0,0.0,837.0,17.0,0.0,0.0,44.0,7.0,0.0,15.0,2.0,0.0,912.0,0.0,797,7.1511509568107865,0.6456797975221066,18.219356201577583,9.269126679149418,0.055483073,0.03476184,0.09798444,0.031567186,-0.07273199,0.02251437,0.332247826,0.005149957,7.0,140433815.0,140624564.0,305190.7,616.0,3.162551e-06,0.40297,0.02459647,10.0,48.67568,93.32432,0.8873112,134.6033,15.04262,38.43735,4.78e-05,42.0,19.155555555555555,1,1
BRCA1,5.0,1.0,0.0,1.0,19.0,8.0,2.0,0.0,2.0,244.0,39.0,0.0,0.0,62.0,9.0,1.0,21.0,9.0,0.0,363.0,0.0,314,8.200344679975881,1.5622601154133748,20.48367999873901,7.658211482751795,-0.0024378137,0.02484179,0.053351436,0.011905657,-0.09858228,0.03253014,2.628634602,0.106627125,17.0,41196313.0,41277500.0,1466229.0,201.0,2.172463e-06,0.46607,0.02652095,38.0,58.97297,98.67568,0.9199338,169.882,30.209840000000003,39.3769,0.011628643,560.0,4.761904761904762,1,1
BRCA2,0.0,6.0,0.0,3.0,50.0,25.0,4.0,0.0,1.0,554.0,72.0,0.0,0.0,115.0,8.0,0.0,54.0,25.0,0.0,759.0,0.0,515,6.5351253311284925,2.9345554137837326,17.755650444743303,8.854868383260236,-0.033364106,0.042727545,0.053478934,0.01960151,-0.14494678,0.050303634,0.867041903,0.0268838,13.0,32889617.0,32973809.0,221300.0,462.0,2.481931e-06,0.394025,0.04401204,5.0,50.13514,97.48649,0.9404518,113.8426,10.00328,34.61398,0.0003139679999999,67.0,5.681034482758621,1,1
BRD7,13.0,8.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,94.0,28.0,0.0,0.0,25.0,5.0,0.0,8.0,5.0,0.0,174.0,0.0,154,10.16293513851088,0.2630625781446426,18.21349442833342,9.025139562278508,-0.026512142,0.03303633,0.0491895,0.010704025,-0.12320826,0.044894252,0.865223315,0.00992849,16.0,50352929.0,50402745.0,303953.2,520.0,2.413292e-06,0.46883,0.01405502,7.0,47.18919,93.13514,0.8152683000000001,185.4459,30.26557,40.84256,4.28e-05,42.0,5.076923076923077,0,1
BTG2,0.0,41.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,38.0,2.0,0.0,0.0,14.0,2.0,2.0,12.0,2.0,0.0,95.0,0.0,91,11.255808041244777,1.7785730167072105,19.13208346893208,8.717676423066399,0.068543784,0.037368555,0.104253046,0.039678257,-0.04925744,0.0116681,0.089890281,0.000869225,1.0,203274664.0,203278727.0,574553.2,420.0,2.398682e-06,0.46232,0.02587524,17.0,38.08108,72.75676,0.9279294,64.65245999999999,2.544262,63.11601999999999,8.640000000000001e-05,19.0,2.8666666666666667,0,1
CACNA1A,0.0,2.0,0.0,0.0,36.0,5.0,1.0,0.0,12.0,461.0,28.0,0.0,0.0,237.0,11.0,0.0,37.0,5.0,0.0,751.0,0.0,561,4.4149514287111575,4.725936514525529,20.614131979008302,8.960001932068081,0.012945522,0.027767455,0.07001951,0.028403524,-0.0670597,0.015910592,0.480643792,0.081587487,19.0,13317256.0,13617274.0,1604988.0,497.0,2.734129e-06,0.4856925,0.01180254,37.0,42.91892,82.78378000000001,0.804944,61.27541,5.72459,53.19387,0.000833179,93.0,2.1218487394957983,0,1
CARD11,0.0,42.0,0.0,14.0,25.0,2.0,3.0,0.0,1.0,352.0,18.0,0.0,0.0,156.0,10.0,0.0,30.0,2.0,1.0,590.0,0.0,460,7.432903981820799,4.186104182157073,19.277307380911427,9.126704472843189,0.060885847,0.03740974,0.104164526,0.032396216,-0.0714577,0.029502885,0.947908652,0.085605554,7.0,2945769.0,3083579.0,635399.8,558.0,2.920871e-06,0.495975,0.02412943,13.0,49.08108,88.37838,0.8661502000000001,114.2033,12.79672,57.08679,1.3e-05,21.0,2.43312101910828,1,1
CASP8,0.0,14.0,0.0,11.0,24.0,11.0,8.0,0.0,4.0,178.0,76.0,1.0,0.0,27.0,18.0,0.0,33.0,13.0,0.0,326.0,0.0,285,8.96949543552183,1.2576913392427431,19.12497572994381,8.59618975614441,0.0067157205,0.017594205,0.0430691,0.0089595625,-0.07814952,0.027467001,1.022182139,0.219170891,2.0,202098166.0,202152434.0,571729.5,386.0,2.074796e-06,0.4385,0.03690582,15.0,54.02703,98.97297,0.9000386999999999,130.7541,16.53115,44.43342,0.000715048,102.0,10.107142857142858,1,1
CBFB,0.0,27.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,41.0,7.0,0.0,0.0,7.0,4.0,1.0,10.0,4.0,0.0,83.0,0.0,87,10.104579047510349,0.4290334306269949,20.02736744408132,6.977279923499918,-0.032645516,0.036361217,0.04871234,0.010884269,-0.13271949,0.04954491,0.186346705,0.016020485,16.0,67063050.0,67134956.0,1068656.0,125.0,1.599883e-06,0.4760649999999999,0.04752437,20.0,37.02703,77.54054000000001,0.8494804,107.0656,11.6459,42.58981,4.210000000000001e-05,25.0,6.875,0,1
CBWD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,18,8.04321782066751,1.0402040918150557,16.80634570909341,9.794415866350104,-0.019338336,0.019444855,0.03500928,0.0069425562,-0.09917914,0.02709973,0.4439186536272007,0.0288399977075919,9.0,70432001.0,70914931.0,114606.8,887.0,4.912504e-06,0.3838397999999999,-0.008532316,5.0,46.32432,89.59459,0.4038403,345.259,68.21311,37.62768,1.35e-05,9.0,5.333333333333333,0,1
CCND1,0.0,20.0,0.0,7.0,1.0,0.0,6.0,2.0,1.0,62.0,6.0,0.0,0.0,26.0,1.0,0.0,11.0,3.0,0.0,118.0,0.0,119,11.942524037970994,3.304132716752969,18.75183103710777,9.068778277985412,0.05142758,0.09564712,0.11340715,0.12267147,-0.07283852,0.018326795,7.306355839,0.36803722,11.0,69455873.0,69469241.0,441430.8,536.0,2.854639e-06,0.48003,0.04094218,10.0,63.64865,72.32432,0.8834812,99.8459,7.944261999999999,62.12554,0.000304666,78.0,2.6296296296296298,0,1
CD70,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,0.0,0.0,17.0,0.0,1.0,0.0,1.0,0.0,71.0,0.0,71,3.728555883191645,6.6814975137156125,19.674712787989023,7.734709620225838,-0.014516296,0.024792021,0.05037037,0.011134305,-0.09485185,0.030036677,0.4439186536272007,0.0288399977075919,19.0,6585851.0,6591163.0,836908.9,212.0,2.80275e-06,0.52482,0.02119229,33.0,39.64865,84.18919,0.9228833,82.3541,2.9147540000000003,60.23917,0.0,2.0,2.2777777777777777,0,1
CD79B,0.0,17.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,29.0,0.0,0.0,0.0,28.0,1.0,0.0,3.0,0.0,0.0,80.0,0.0,74,5.80914525268982,4.0903059588348425,20.4728028712418,8.661778097771986,0.03176909,0.029707382,0.07839885,0.027402908,-0.06531212,0.020556137,0.854454728,0.008603333,17.0,62006098.0,62009704.0,1455216.0,404.0,2.263443e-06,0.52599,0.02480486,23.0,50.10811,91.94595,0.9054798,85.09508000000001,3.980328,59.95741,1.96e-05,8.0,1.0344827586206895,0,1
CDH1,0.0,25.0,0.0,1.0,50.0,37.0,9.0,0.0,1.0,173.0,41.0,0.0,0.0,50.0,29.0,0.0,68.0,41.0,0.0,307.0,0.0,365,11.466600278109087,11.056224975368364,19.817683989283854,7.912889336229964,-0.03335244,0.036356024,0.04868095,0.011068961,-0.13376297,0.04899103,1.134385708,0.110970377,16.0,68771195.0,68869444.0,924095.5,240.0,1.793947e-06,0.481855,0.03016505,23.0,50.78378,95.51351,0.8880184999999999,130.8787,15.25574,47.96003,0.000395585,86.0,5.490196078431373,1,1
CDK12,0.0,11.0,3.0,5.0,28.0,12.0,3.0,2.0,0.0,253.0,26.0,0.0,0.0,66.0,5.0,0.0,34.0,16.0,0.0,364.0,0.0,339,10.18655373824213,0.5346525687828968,20.42633028260349,7.906890595608518,0.020035202,0.064270414,0.08287646,0.072127156,-0.09282814,0.030333932,0.4439186536272007,0.0288399977075919,17.0,37617739.0,37690799.0,1409087.0,239.0,2.282342e-06,0.45166,0.02758249,20.0,53.62161999999999,97.67568,0.9348665,151.4,19.67869,47.58332,0.0001488429999999,25.0,4.447761194029851,0,1
CDK4,0.0,8.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,58.0,2.0,0.0,0.0,18.0,0.0,0.0,4.0,2.0,0.0,87.0,0.0,80,11.44164311568854,0.6562086329250704,20.146750134777488,8.430452551665532,0.04389504,0.06937762,0.08832624,0.08941204,-0.05320592,0.011855687,0.290734886,0.004255677,12.0,58142005.0,58146164.0,1160849.0,344.0,2.386428e-06,0.46755,0.03909095,39.0,56.10811,98.7027,0.9091528,169.3148,26.49508,50.919,0.001104291,138.0,3.263157894736842,0,1
