gene,transcript,protein_change,score,pvalue,qvalue,info
ARID1A,ENST00000324856,.,.,8.0,3.5690740740740748e-06,SAMPLES=466;SNV=413;INDEL=111;STRATIFIED_FDR=1.1921052631578947e-07
U2AF1,ENST00000291552,.,.,4.221848749616356,0.012301914893617,SAMPLES=61;SNV=60;INDEL=1;STRATIFIED_FDR=0.0005226923076923077
CDK12,ENST00000447079,.,.,4.221848749616356,0.012301914893617,SAMPLES=165;SNV=161;INDEL=15;STRATIFIED_FDR=0.0005226923076923077
KMT2A,ENST00000534358,.,.,4.221848749616356,0.012301914893617,SAMPLES=294;SNV=308;INDEL=14;STRATIFIED_FDR=0.0005226923076923077
MAP2K1,ENST00000307102,.,.,4.096910013008056,0.0157330612244897,SAMPLES=69;SNV=68;INDEL=4;STRATIFIED_FDR=0.0006837735849056604
ERBB2,ENST00000269571,.,.,3.9208187539527373,0.0231275999999999,SAMPLES=187;SNV=210;INDEL=2;STRATIFIED_FDR=0.0010066666666666666
AXIN1,ENST00000262320,.,.,3.6020599913279625,0.0434076576576576,SAMPLES=99;SNV=99;INDEL=5;STRATIFIED_FDR=0.0020590909090909093
RPL5,ENST00000370321,.,.,3.5086383061657274,0.0524090350877193,SAMPLES=39;SNV=33;INDEL=7;STRATIFIED_FDR=0.0025076785714285713
TSC1,ENST00000298552,.,.,3.494850021680094,0.0536292173913043,SAMPLES=104;SNV=99;INDEL=12;STRATIFIED_FDR=0.0025431578947368422
WT1,ENST00000332351,.,.,3.3010299956639813,0.07528515625,SAMPLES=78;SNV=76;INDEL=2;STRATIFIED_FDR=0.003905172413793104
BRCA1,ENST00000471181,.,.,3.292429823902149,0.0761955813953488,SAMPLES=165;SNV=162;INDEL=12;STRATIFIED_FDR=0.0039157627118644065
NRAS,ENST00000369535,.,.,2.9829666607012197,0.141154366197183,SAMPLES=236;SNV=243;INDEL=0;STRATIFIED_FDR=0.007852
CCND1,ENST00000227507,.,.,2.9208187539523753,0.1531629139072847,SAMPLES=57;SNV=56;INDEL=4;STRATIFIED_FDR=0.008911475409836065
THRAP3,ENST00000354618,.,.,2.9136401693252516,0.1546911842105263,SAMPLES=91;SNV=94;INDEL=5;STRATIFIED_FDR=0.008913870967741934
TCF7L2,ENST00000543371,.,.,2.8961962790440774,0.1579142580645161,SAMPLES=86;SNV=88;INDEL=3;STRATIFIED_FDR=0.009131904761904761
GNAQ,ENST00000286548,.,.,2.838631997765025,0.1735767080745341,SAMPLES=72;SNV=71;INDEL=2;STRATIFIED_FDR=0.010263281249999999
MEN1,ENST00000337652,.,.,2.8297382846050425,0.1749941104294478,SAMPLES=61;SNV=56;INDEL=8;STRATIFIED_FDR=0.010314461538461538
CHEK2,ENST00000382580,.,.,2.7399286120149253,0.2051278362573099,SAMPLES=71;SNV=71;INDEL=3;STRATIFIED_FDR=0.012491818181818182
KDM5C,ENST00000375401,.,.,2.7189666327522723,0.2103510285714285,SAMPLES=127;SNV=116;INDEL=14;STRATIFIED_FDR=0.012913880597014926
KIT,ENST00000288135,.,.,2.571865205971211,0.2648802051282051,SAMPLES=169;SNV=173;INDEL=3;STRATIFIED_FDR=0.01785352941176471
SFPQ,ENST00000357214,.,.,2.540607512240769,0.2817575634517766,SAMPLES=41;SNV=39;INDEL=3;STRATIFIED_FDR=0.018907826086956524
HRAS,ENST00000451590,.,.,2.5243288116755704,0.2895744278606965,SAMPLES=123;SNV=125;INDEL=2;STRATIFIED_FDR=0.019349571428571428
CDK4,ENST00000257904,.,.,2.5114492834995557,0.2909845098039215,SAMPLES=33;SNV=34;INDEL=1;STRATIFIED_FDR=0.019651267605633804
MYCN,ENST00000281043,.,.,2.453457336521869,0.3230521904761905,SAMPLES=60;SNV=62;INDEL=0;STRATIFIED_FDR=0.02209150684931507
CBFB,ENST00000412916,.,.,2.4485500020271247,0.3236409433962264,SAMPLES=30;SNV=28;INDEL=3;STRATIFIED_FDR=0.02209150684931507
FBXO11,ENST00000403359,.,.,2.438898616350944,0.3278211214953271,SAMPLES=64;SNV=59;INDEL=5;STRATIFIED_FDR=0.022282702702702703
SMARCB1,ENST00000263121,.,.,2.4294570601181023,0.3317772146118721,SAMPLES=47;SNV=43;INDEL=4;STRATIFIED_FDR=0.0224688
TSC2,ENST00000219476,.,.,2.406713932979543,0.3418559276018099,SAMPLES=178;SNV=175;INDEL=8;STRATIFIED_FDR=0.023365263157894736
DNMT3A,ENST00000264709,.,.,2.377785977033705,0.3541836403508772,SAMPLES=145;SNV=139;INDEL=10;STRATIFIED_FDR=0.02465025974025974
HOXD11,ENST00000249504,.,.,2.211831628858832,0.4482432575757575,SAMPLES=15;SNV=17;INDEL=0;STRATIFIED_FDR=0.03565923076923077
RPL22,ENST00000234875,.,.,2.183758700008217,0.4641108455882353,SAMPLES=15;SNV=13;INDEL=2;STRATIFIED_FDR=0.03755886075949367
MAP2K2,ENST00000262948,.,.,2.170696227168975,0.4747910583941606,SAMPLES=40;SNV=41;INDEL=2;STRATIFIED_FDR=0.03791777777777778
FOXP1,ENST00000491238,.,.,2.1687703061329366,0.4751670545454545,SAMPLES=70;SNV=66;INDEL=6;STRATIFIED_FDR=0.03791777777777778
JUN,ENST00000371222,.,.,2.1079053973095196,0.5190418275862069,SAMPLES=40;SNV=33;INDEL=7;STRATIFIED_FDR=0.04309024390243902
HIST1H3B,ENST00000244661,.,.,2.0920514783877278,0.5285375254237288,SAMPLES=72;SNV=71;INDEL=2;STRATIFIED_FDR=0.04415385542168675
MAF,ENST00000326043,.,.,2.0555173278498313,0.5542562091503268,SAMPLES=26;SNV=25;INDEL=1;STRATIFIED_FDR=0.04745714285714286
SH2B3,ENST00000341259,.,.,2.041914151478915,0.5639823397435897,SAMPLES=35;SNV=36;INDEL=0;STRATIFIED_FDR=0.04839105882352941
NPM1,ENST00000296930,.,.,2.0034883278458215,0.5919138080495356,SAMPLES=31;SNV=24;INDEL=8;STRATIFIED_FDR=0.052253023255813956
MED12,ENST00000374080,.,.,1.9888526392242025,0.6083410122699386,SAMPLES=268;SNV=279;INDEL=4;STRATIFIED_FDR=0.05342275862068965
PRF1,ENST00000441259,.,.,1.913996294381618,0.6914611403508771,SAMPLES=80;SNV=83;INDEL=0;STRATIFIED_FDR=0.06214752808988763
HOXA13,ENST00000222753,.,.,1.913284336055121,0.6914611403508771,SAMPLES=29;SNV=30;INDEL=1;STRATIFIED_FDR=0.06214752808988763
NONO,ENST00000276079,.,.,1.8306195046880536,0.7355612661498708,SAMPLES=58;SNV=60;INDEL=2;STRATIFIED_FDR=0.07434233333333333
AKT1,ENST00000554581,.,.,1.8082696066371438,0.7548996221662468,SAMPLES=86;SNV=90;INDEL=0;STRATIFIED_FDR=0.07740824175824175
PAX8,ENST00000429538,.,.,1.710857164067669,0.8328992511013216,SAMPLES=49;SNV=49;INDEL=2;STRATIFIED_FDR=0.09581934782608695
SF3B1,ENST00000335508,.,.,1.5526868911764318,0.96606343470483,SAMPLES=187;SNV=194;INDEL=0;STRATIFIED_FDR=0.1361409574468085
USP6,ENST00000574788,.,.,1.5489815478445426,0.9670671985815602,SAMPLES=138;SNV=142;INDEL=2;STRATIFIED_FDR=0.1361409574468085
TLX3,ENST00000296921,.,.,1.4833324409009572,1.0,SAMPLES=30;SNV=30;INDEL=1;STRATIFIED_FDR=0.1566903157894737
BMPR1A,ENST00000372037,.,.,1.4682656907234497,1.0,SAMPLES=34;SNV=33;INDEL=1;STRATIFIED_FDR=0.16053187500000002
LMO2,ENST00000257818,.,.,1.442853857681637,1.0,SAMPLES=21;SNV=21;INDEL=0;STRATIFIED_FDR=0.16845061855670102
BRCA2,ENST00000544455,.,.,1.3940488424351272,1.0,SAMPLES=272;SNV=289;INDEL=11;STRATIFIED_FDR=0.18656204081632655
CEBPA,ENST00000498907,.,.,1.3795516152882912,1.0,SAMPLES=9;SNV=10;INDEL=0;STRATIFIED_FDR=0.19094636363636364
PTPN11,ENST00000351677,.,.,1.3251388592621884,1.0,SAMPLES=76;SNV=76;INDEL=1;STRATIFIED_FDR=0.21426900000000002
ERCC2,ENST00000391945,.,.,1.3094495384896414,1.0,SAMPLES=83;SNV=84;INDEL=0;STRATIFIED_FDR=0.21903882352941173
NKX2-1,ENST00000354822,.,.,1.306976932076307,1.0,SAMPLES=30;SNV=30;INDEL=0;STRATIFIED_FDR=0.21903882352941173
FOXL2,ENST00000330315,.,.,1.2851674875666672,1.0,SAMPLES=30;SNV=29;INDEL=2;STRATIFIED_FDR=0.22808330097087381
KDR,ENST00000263923,.,.,1.2798406965940432,1.0,SAMPLES=244;SNV=255;INDEL=6;STRATIFIED_FDR=0.2286778846153846
GOLGA5,ENST00000163416,.,.,1.2495687513397977,1.0,SAMPLES=55;SNV=54;INDEL=1;STRATIFIED_FDR=0.24285114285714288
NOTCH2,ENST00000256646,.,.,1.2387489256913373,1.0,SAMPLES=195;SNV=197;INDEL=10;STRATIFIED_FDR=0.2466285849056604
ETV6,ENST00000396373,.,.,1.22242819530859,1.0,SAMPLES=63;SNV=61;INDEL=4;STRATIFIED_FDR=0.25368
FGFR2,ENST00000457416,.,.,1.2116194846804367,1.0,SAMPLES=145;SNV=147;INDEL=7;STRATIFIED_FDR=0.2576647222222222
HOXC13,ENST00000243056,.,.,1.2033562962148836,1.0,SAMPLES=34;SNV=35;INDEL=0;STRATIFIED_FDR=0.2578393636363636
MKL1,ENST00000355630,.,.,1.2033562962148836,1.0,SAMPLES=73;SNV=75;INDEL=1;STRATIFIED_FDR=0.2578393636363636
MSH6,ENST00000234420,.,.,1.1907770783105782,1.0,SAMPLES=87;SNV=80;INDEL=12;STRATIFIED_FDR=0.26225464285714284
CNOT3,ENST00000406403,.,.,1.1881569938235228,1.0,SAMPLES=83;SNV=83;INDEL=1;STRATIFIED_FDR=0.26225464285714284
CDC73,ENST00000367435,.,.,1.1784209720879912,1.0,SAMPLES=64;SNV=63;INDEL=2;STRATIFIED_FDR=0.26582681415929205
SMARCE1,ENST00000348513,.,.,1.1095789811990857,1.0,SAMPLES=34;SNV=32;INDEL=2;STRATIFIED_FDR=0.3067794782608695
RBM15,ENST00000369784,.,.,1.1085740571520066,1.0,SAMPLES=79;SNV=80;INDEL=5;STRATIFIED_FDR=0.3067794782608695
JAK1,ENST00000342505,.,.,1.1029780439396366,1.0,SAMPLES=87;SNV=87;INDEL=3;STRATIFIED_FDR=0.3077689743589743
MAX,ENST00000358664,.,.,1.099687503016274,1.0,SAMPLES=35;SNV=32;INDEL=4;STRATIFIED_FDR=0.3077689743589743
SRGAP3,ENST00000383836,.,.,1.0949060316721286,1.0,SAMPLES=129;SNV=132;INDEL=1;STRATIFIED_FDR=0.3085390677966102
CANT1,ENST00000302345,.,.,1.0759275700896371,1.0,SAMPLES=40;SNV=41;INDEL=0;STRATIFIED_FDR=0.3196124369747899
TOP1,ENST00000361337,.,.,1.0569508889915933,1.0,SAMPLES=67;SNV=64;INDEL=4;STRATIFIED_FDR=0.33110524999999996
EIF4A2,ENST00000323963,.,.,1.0478859150930073,1.0,SAMPLES=61;SNV=54;INDEL=8;STRATIFIED_FDR=0.3352948760330579
MYH9,ENST00000216181,.,.,1.039719535563358,1.0,SAMPLES=229;SNV=239;INDEL=14;STRATIFIED_FDR=0.3369141463414634
FGFR3,ENST00000340107,.,.,1.0386738440652896,1.0,SAMPLES=125;SNV=135;INDEL=1;STRATIFIED_FDR=0.3369141463414634
POT1,ENST00000357628,.,.,1.021271822861508,1.0,SAMPLES=85;SNV=89;INDEL=1;STRATIFIED_FDR=0.34786016129032254
FANCG,ENST00000378643,.,.,1.013273040668782,1.0,SAMPLES=40;SNV=41;INDEL=0;STRATIFIED_FDR=0.35149175999999993
TPM4,ENST00000538887,.,.,1.0045403133789357,1.0,SAMPLES=29;SNV=29;INDEL=2;STRATIFIED_FDR=0.35430307086614177
NUMA1,ENST00000393695,.,.,1.0029195645282691,1.0,SAMPLES=156;SNV=162;INDEL=7;STRATIFIED_FDR=0.35430307086614177
HOXA9,ENST00000343483,.,.,0.9985691877536021,1.0,SAMPLES=28;SNV=29;INDEL=0;STRATIFIED_FDR=0.355074140625
PBX1,ENST00000420696,.,.,0.9744074311483264,1.0,SAMPLES=59;SNV=58;INDEL=2;STRATIFIED_FDR=0.37247837209302326
POU5F1,ENST00000259915,.,.,0.9431713473621882,1.0,SAMPLES=21;SNV=19;INDEL=2;STRATIFIED_FDR=0.3971764615384615
KLK2,ENST00000325321,.,.,0.9324827980963247,1.0,SAMPLES=39;SNV=39;INDEL=1;STRATIFIED_FDR=0.4039653435114504
H3F3B,ENST00000254810,.,.,0.9259153109717562,1.0,SAMPLES=21;SNV=19;INDEL=3;STRATIFIED_FDR=0.40701363636363636
CD274,ENST00000381577,.,.,0.9092130720507324,1.0,SAMPLES=18;SNV=18;INDEL=1;STRATIFIED_FDR=0.41979135338345863
TNFRSF17,ENST00000053243,.,.,0.9045516734618778,1.0,SAMPLES=15;SNV=15;INDEL=0;STRATIFIED_FDR=0.42115477611940294
STAT3,ENST00000264657,.,.,0.8651537910752294,1.0,SAMPLES=98;SNV=98;INDEL=3;STRATIFIED_FDR=0.4577313333333333
TRAF7,ENST00000326181,.,.,0.8579861670156409,1.0,SAMPLES=54;SNV=52;INDEL=2;STRATIFIED_FDR=0.4619267647058824
ABL2,ENST00000502732,.,.,0.8541202035293799,1.0,SAMPLES=109;SNV=113;INDEL=2;STRATIFIED_FDR=0.4626551824817519
RAD21,ENST00000297338,.,.,0.8475587619410453,1.0,SAMPLES=77;SNV=73;INDEL=7;STRATIFIED_FDR=0.46293992805755396
PAX7,ENST00000375375,.,.,0.8475587619410453,1.0,SAMPLES=69;SNV=74;INDEL=0;STRATIFIED_FDR=0.46293992805755396
ABL1,ENST00000372348,.,.,0.8442693287214115,1.0,SAMPLES=97;SNV=100;INDEL=3;STRATIFIED_FDR=0.4631277857142857
BCL10,ENST00000370580,.,.,0.8195587018052816,1.0,SAMPLES=20;SNV=22;INDEL=0;STRATIFIED_FDR=0.4840081690140845
MLH1,ENST00000231790,.,.,0.8189571659692471,1.0,SAMPLES=72;SNV=79;INDEL=2;STRATIFIED_FDR=0.4840081690140845
DDIT3,ENST00000551116,.,.,0.7846532971378325,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=0.51698625
ETV5,ENST00000306376,.,.,0.784256717362395,1.0,SAMPLES=54;SNV=53;INDEL=1;STRATIFIED_FDR=0.51698625
DDB2,ENST00000256996,.,.,0.7763223838699684,1.0,SAMPLES=27;SNV=26;INDEL=2;STRATIFIED_FDR=0.5228869655172413
HOXD13,ENST00000392539,.,.,0.7649768405047764,1.0,SAMPLES=35;SNV=35;INDEL=0;STRATIFIED_FDR=0.5330506849315069
TFG,ENST00000240851,.,.,0.7569867688503221,1.0,SAMPLES=29;SNV=28;INDEL=1;STRATIFIED_FDR=0.5392548979591837
TLX1,ENST00000370196,.,.,0.7407167838100366,1.0,SAMPLES=18;SNV=18;INDEL=0;STRATIFIED_FDR=0.5539065100671141
NCOA2,ENST00000452400,.,.,0.7394754641577741,1.0,SAMPLES=132;SNV=128;INDEL=8;STRATIFIED_FDR=0.5539065100671141
CYLD,ENST00000427738,.,.,0.7314922322526497,1.0,SAMPLES=77;SNV=76;INDEL=2;STRATIFIED_FDR=0.5604214
CDKN2C,ENST00000262662,.,.,0.7056219644127589,1.0,SAMPLES=23;SNV=21;INDEL=2;STRATIFIED_FDR=0.5908800000000001
P2RY8,ENST00000381297,.,.,0.7013652168755644,1.0,SAMPLES=95;SNV=98;INDEL=2;STRATIFIED_FDR=0.5927743421052631
JAK2,ENST00000381652,.,.,0.6963720236161103,1.0,SAMPLES=87;SNV=90;INDEL=2;STRATIFIED_FDR=0.5957098039215686
SMO,ENST00000249373,.,.,0.6935106372915173,1.0,SAMPLES=76;SNV=79;INDEL=0;STRATIFIED_FDR=0.5957538311688311
SDHC,ENST00000367975,.,.,0.6766860095379339,1.0,SAMPLES=16;SNV=17;INDEL=0;STRATIFIED_FDR=0.6152909032258065
DEK,ENST00000397239,.,.,0.6695050576977828,1.0,SAMPLES=23;SNV=22;INDEL=1;STRATIFIED_FDR=0.6212120886075948
POU2AF1,ENST00000393067,.,.,0.6642212611895297,1.0,SAMPLES=31;SNV=31;INDEL=0;STRATIFIED_FDR=0.6212120886075948
MLLT1,ENST00000252674,.,.,0.6642012166746346,1.0,SAMPLES=43;SNV=44;INDEL=0;STRATIFIED_FDR=0.6212120886075948
PAX5,ENST00000358127,.,.,0.6596550504718557,1.0,SAMPLES=59;SNV=58;INDEL=1;STRATIFIED_FDR=0.6238009433962264
GNAS,ENST00000371100,.,.,0.6456418172646785,1.0,SAMPLES=163;SNV=173;INDEL=0;STRATIFIED_FDR=0.6402305625
AKT2,ENST00000392038,.,.,0.6418747147233514,1.0,SAMPLES=45;SNV=46;INDEL=0;STRATIFIED_FDR=0.6404637037037038
CLTC,ENST00000269122,.,.,0.6400886649864578,1.0,SAMPLES=116;SNV=114;INDEL=3;STRATIFIED_FDR=0.6404637037037038
SOX2,ENST00000325404,.,.,0.6239160096376385,1.0,SAMPLES=28;SNV=27;INDEL=1;STRATIFIED_FDR=0.6606852147239264
ERCC4,ENST00000311895,.,.,0.6119165686163516,1.0,SAMPLES=74;SNV=75;INDEL=0;STRATIFIED_FDR=0.6719774545454545
TET2,ENST00000540549,.,.,0.611259555475389,1.0,SAMPLES=122;SNV=132;INDEL=4;STRATIFIED_FDR=0.6719774545454545
BRD4,ENST00000263377,.,.,0.6012096072478607,1.0,SAMPLES=120;SNV=124;INDEL=3;STRATIFIED_FDR=0.681606976744186
IL6ST,ENST00000381298,.,.,0.5982032601118361,1.0,SAMPLES=80;SNV=72;INDEL=9;STRATIFIED_FDR=0.681606976744186
LPP,ENST00000312675,.,.,0.5971026914435913,1.0,SAMPLES=82;SNV=82;INDEL=3;STRATIFIED_FDR=0.681606976744186
PLAG1,ENST00000316981,.,.,0.5941074861949415,1.0,SAMPLES=71;SNV=76;INDEL=2;STRATIFIED_FDR=0.681606976744186
HOXA11,ENST00000006015,.,.,0.5892227666227902,1.0,SAMPLES=27;SNV=30;INDEL=0;STRATIFIED_FDR=0.681606976744186
LIFR,ENST00000263409,.,.,0.5875562534552379,1.0,SAMPLES=136;SNV=138;INDEL=3;STRATIFIED_FDR=0.681606976744186
NR4A3,ENST00000330847,.,.,0.5870357280033373,1.0,SAMPLES=42;SNV=44;INDEL=0;STRATIFIED_FDR=0.681606976744186
SRSF2,ENST00000392485,.,.,0.576918041702769,1.0,SAMPLES=35;SNV=34;INDEL=4;STRATIFIED_FDR=0.6936398843930637
TAF15,ENST00000588240,.,.,0.574090987324797,1.0,SAMPLES=52;SNV=52;INDEL=1;STRATIFIED_FDR=0.6941574137931035
MAML2,ENST00000524717,.,.,0.5657665263552291,1.0,SAMPLES=107;SNV=109;INDEL=3;STRATIFIED_FDR=0.7035478285714287
ELK4,ENST00000357992,.,.,0.5582577463567518,1.0,SAMPLES=32;SNV=34;INDEL=0;STRATIFIED_FDR=0.7089577966101694
ACSL3,ENST00000357430,.,.,0.5575045527173984,1.0,SAMPLES=46;SNV=45;INDEL=1;STRATIFIED_FDR=0.7089577966101694
TRIM27,ENST00000377199,.,.,0.5531367685174833,1.0,SAMPLES=49;SNV=49;INDEL=1;STRATIFIED_FDR=0.7121007303370787
EXT1,ENST00000378204,.,.,0.5416492578603368,1.0,SAMPLES=72;SNV=69;INDEL=4;STRATIFIED_FDR=0.7248
KLF4,ENST00000374672,.,.,0.5396886251843848,1.0,SAMPLES=35;SNV=35;INDEL=2;STRATIFIED_FDR=0.7248
MUTYH,ENST00000372098,.,.,0.5373774250994507,1.0,SAMPLES=44;SNV=48;INDEL=0;STRATIFIED_FDR=0.7248
TTL,ENST00000233336,.,.,0.5358086293590004,1.0,SAMPLES=28;SNV=27;INDEL=3;STRATIFIED_FDR=0.7248
